hour,predicted_trips,temp_c,precip_mm,wind_speed_ms,cloud_area_fraction,is_school_holiday,is_national_holiday
2026-06-26 05:00:00,41,15.1,0.0,0.8,52.5,1,0
2026-06-26 06:00:00,138,16.4,0.0,1.2,40.7,1,0
2026-06-26 07:00:00,448,18.3,0.0,0.3,32.0,1,0
2026-06-26 08:00:00,602,19.7,0.0,1.5,41.9,1,0
2026-06-26 09:00:00,300,20.8,0.0,1.7,37.1,1,0
2026-06-26 10:00:00,222,22.3,0.0,1.9,97.0,1,0
2026-06-26 11:00:00,243,23.9,0.0,2.3,94.3,1,0
2026-06-26 12:00:00,278,25.2,0.0,3.9,73.5,1,0
2026-06-26 13:00:00,306,25.5,0.0,4.1,84.5,1,0
2026-06-26 14:00:00,353,25.7,0.0,3.9,97.0,1,0
2026-06-26 15:00:00,529,25.7,0.0,3.7,96.0,1,0
2026-06-26 16:00:00,625,26.0,0.0,4.1,87.0,1,0
2026-06-26 17:00:00,538,25.7,0.0,3.4,59.5,1,0
2026-06-26 18:00:00,439,25.5,0.0,3.3,46.2,1,0
2026-06-26 19:00:00,331,24.9,0.0,3.1,83.9,1,0
2026-06-26 20:00:00,260,24.0,0.0,3.1,95.8,1,0
2026-06-26 21:00:00,247,23.2,0.0,3.0,96.3,1,0
2026-06-26 22:00:00,244,22.1,0.0,3.3,95.5,1,0
2026-06-26 23:00:00,249,20.9,0.0,2.8,83.1,1,0
2026-06-27 00:00:00,187,20.2,0.0,2.6,99.9,1,0
2026-06-27 01:00:00,0,19.2,0.4,2.5,100.0,1,0
2026-06-27 02:00:00,0,18.8,0.0,1.8,100.0,1,0
2026-06-27 03:00:00,0,18.3,0.0,2.1,100.0,1,0
2026-06-27 04:00:00,0,17.7,0.0,0.9,100.0,1,0
2026-06-27 05:00:00,41,17.4,0.0,2.0,47.9,1,0
2026-06-27 06:00:00,40,17.7,0.0,1.4,53.5,1,0
2026-06-27 07:00:00,62,18.5,0.0,0.9,89.1,1,0
2026-06-27 08:00:00,94,19.3,0.0,1.3,68.8,1,0
2026-06-27 09:00:00,198,20.9,0.0,1.1,57.4,1,0
2026-06-27 10:00:00,273,22.8,0.0,1.3,71.4,1,0
2026-06-27 11:00:00,345,24.1,0.0,1.8,85.0,1,0
2026-06-27 12:00:00,358,25.1,0.0,1.4,99.9,1,0
2026-06-27 13:00:00,369,25.8,0.0,2.0,91.3,1,0
2026-06-27 14:00:00,388,26.9,0.0,2.6,35.7,1,0
2026-06-27 15:00:00,394,27.7,0.0,2.7,22.8,1,0
2026-06-27 16:00:00,405,28.1,0.0,4.1,0.3,1,0
2026-06-27 17:00:00,398,28.2,0.0,4.0,0.8,1,0
2026-06-27 18:00:00,360,28.1,0.0,3.8,5.3,1,0
2026-06-27 19:00:00,308,27.8,0.0,3.7,77.4,1,0
2026-06-27 20:00:00,271,26.5,0.0,3.2,38.2,1,0
2026-06-27 21:00:00,229,25.4,0.0,3.2,46.7,1,0
2026-06-27 22:00:00,217,23.9,0.0,3.1,11.4,1,0
2026-06-27 23:00:00,230,22.8,0.0,2.6,70.2,1,0
2026-06-28 00:00:00,169,21.8,0.0,2.5,94.3,1,0
2026-06-28 01:00:00,0,21.0,0.0,2.0,97.4,1,0
2026-06-28 02:00:00,0,20.0,0.0,1.8,95.7,1,0
2026-06-28 03:00:00,0,19.1,0.0,1.6,66.5,1,0
2026-06-28 04:00:00,0,17.9,0.0,1.4,9.3,1,0
2026-06-28 05:00:00,35,17.7,0.0,1.2,8.1,1,0
2026-06-28 06:00:00,33,18.4,0.0,1.2,2.7,1,0
2026-06-28 07:00:00,44,19.5,0.0,1.0,8.0,1,0
