hour,predicted_trips,temp_c,precip_mm,wind_speed_ms,cloud_area_fraction,is_school_holiday,is_national_holiday
2026-08-10 03:00:00,0,13.8,0.0,3.1,100.0,1,0
2026-08-10 04:00:00,0,13.6,0.0,3.4,94.9,1,0
2026-08-10 05:00:00,26,13.5,0.0,3.1,96.1,1,0
2026-08-10 06:00:00,140,13.4,0.0,2.1,28.5,1,0
2026-08-10 07:00:00,494,13.6,0.0,1.9,1.3,1,0
2026-08-10 08:00:00,678,14.2,0.0,2.4,0.0,1,0
2026-08-10 09:00:00,283,15.3,0.0,2.5,0.0,1,0
2026-08-10 10:00:00,217,16.2,0.0,2.9,0.1,1,0
2026-08-10 11:00:00,237,17.6,0.0,3.4,1.7,1,0
2026-08-10 12:00:00,255,18.8,0.0,3.7,19.9,1,0
2026-08-10 13:00:00,280,19.5,0.0,3.6,49.5,1,0
2026-08-10 14:00:00,338,19.9,0.0,3.1,76.3,1,0
2026-08-10 15:00:00,601,20.2,0.0,3.9,79.0,1,0
2026-08-10 16:00:00,774,20.2,0.0,4.6,18.9,1,0
2026-08-10 17:00:00,636,20.4,0.0,5.3,32.4,1,0
2026-08-10 18:00:00,501,19.7,0.0,5.1,1.3,1,0
2026-08-10 19:00:00,383,18.9,0.0,4.8,2.1,1,0
2026-08-10 20:00:00,313,18.0,0.0,3.4,3.6,1,0
2026-08-10 21:00:00,247,16.5,0.0,3.0,0.1,1,0
2026-08-10 22:00:00,177,14.8,0.0,2.3,0.1,1,0
2026-08-10 23:00:00,121,13.6,0.0,2.1,4.0,1,0
2026-08-11 00:00:00,63,13.1,0.0,2.9,2.1,1,0
2026-08-11 01:00:00,0,12.3,0.0,2.2,21.1,1,0
2026-08-11 02:00:00,0,11.7,0.0,2.9,11.7,1,0
2026-08-11 03:00:00,0,11.1,0.0,2.1,5.0,1,0
2026-08-11 04:00:00,0,10.6,0.0,1.6,0.3,1,0
2026-08-11 05:00:00,40,10.4,0.0,1.7,0.0,1,0
2026-08-11 06:00:00,150,10.2,0.0,2.2,0.0,1,0
2026-08-11 07:00:00,515,11.6,0.0,2.3,0.0,1,0
2026-08-11 08:00:00,715,13.8,0.0,3.4,0.3,1,0
2026-08-11 09:00:00,300,15.6,0.0,3.3,0.5,1,0
2026-08-11 10:00:00,229,16.9,0.0,2.4,0.0,1,0
