hour,predicted_trips,temp_c,precip_mm,wind_speed_ms,cloud_area_fraction,is_school_holiday,is_national_holiday
2026-05-07 04:00:00,0,3.7,0.0,3.8,3.8,0,0
2026-05-07 05:00:00,31,3.1,0.0,3.0,0.0,0,0
2026-05-07 06:00:00,126,3.1,0.0,2.2,0.0,0,0
2026-05-07 07:00:00,461,4.3,0.0,1.0,0.3,0,0
2026-05-07 08:00:00,566,6.2,0.0,0.9,1.2,0,0
2026-05-07 09:00:00,230,8.0,0.0,1.1,0.1,0,0
2026-05-07 10:00:00,168,9.6,0.0,1.3,0.0,0,0
2026-05-07 11:00:00,185,10.9,0.0,1.1,0.3,0,0
2026-05-07 12:00:00,189,12.1,0.0,2.2,9.3,0,0
2026-05-07 13:00:00,194,12.8,0.0,3.6,0.0,0,0
2026-05-07 14:00:00,243,13.5,0.0,3.5,3.0,0,0
2026-05-07 15:00:00,423,14.2,0.0,3.1,1.6,0,0
2026-05-07 16:00:00,616,14.5,0.0,2.7,4.2,0,0
2026-05-07 17:00:00,516,14.8,0.0,2.7,1.9,0,0
2026-05-07 18:00:00,418,14.6,0.0,2.4,0.0,0,0
2026-05-07 19:00:00,309,14.3,0.0,1.9,0.0,0,0
2026-05-07 20:00:00,261,13.6,0.0,1.6,1.0,0,0
2026-05-07 21:00:00,207,12.0,0.0,1.4,6.9,0,0
2026-05-07 22:00:00,165,10.3,0.0,2.0,3.0,0,0
2026-05-07 23:00:00,109,8.8,0.0,1.0,5.9,0,0
2026-05-08 00:00:00,44,7.9,0.0,1.0,5.9,0,0
2026-05-08 01:00:00,0,6.8,0.0,2.0,5.1,0,0
2026-05-08 02:00:00,0,6.2,0.0,1.8,9.5,0,0
2026-05-08 03:00:00,0,5.5,0.0,2.0,12.6,0,0
2026-05-08 04:00:00,0,4.8,0.0,1.7,27.1,0,0
2026-05-08 05:00:00,27,4.5,0.0,1.5,58.6,0,0
2026-05-08 06:00:00,109,4.7,0.0,1.1,79.8,0,0
2026-05-08 07:00:00,415,6.4,0.0,1.2,96.8,0,0
2026-05-08 08:00:00,503,8.5,0.0,0.9,99.9,0,0
2026-05-08 09:00:00,238,10.1,0.0,1.3,99.5,0,0
2026-05-08 10:00:00,188,11.5,0.0,1.5,80.9,0,0
2026-05-08 11:00:00,201,13.3,0.0,2.1,51.3,0,0
2026-05-08 12:00:00,219,14.8,0.0,2.7,56.0,0,0
2026-05-08 13:00:00,235,15.8,0.0,3.8,98.1,0,0
2026-05-08 14:00:00,290,16.2,0.0,5.2,99.8,0,0
2026-05-08 15:00:00,448,16.6,0.0,5.4,95.9,0,0
2026-05-08 16:00:00,563,16.7,0.0,4.9,93.8,0,0
2026-05-08 17:00:00,460,16.5,0.0,4.8,92.7,0,0
2026-05-08 18:00:00,376,16.1,0.0,4.9,86.8,0,0
2026-05-08 19:00:00,257,15.4,0.0,4.4,98.2,0,0
2026-05-08 20:00:00,201,14.6,0.0,4.4,98.9,0,0
2026-05-08 21:00:00,181,13.6,0.0,4.7,89.1,0,0
2026-05-08 22:00:00,158,12.2,0.0,3.8,40.1,0,0
2026-05-08 23:00:00,133,11.1,0.0,3.1,18.8,0,0
2026-05-09 00:00:00,116,9.9,0.0,2.1,5.5,0,0
2026-05-09 01:00:00,0,8.9,0.0,2.2,10.6,0,0
2026-05-09 02:00:00,0,8.0,0.0,1.9,26.0,0,0
2026-05-09 03:00:00,0,7.3,0.0,1.6,21.8,0,0
2026-05-09 04:00:00,0,6.7,0.0,1.4,56.9,0,0
2026-05-09 05:00:00,10,6.4,0.0,1.0,33.4,0,0
2026-05-09 06:00:00,14,6.5,0.0,0.8,40.2,0,0
2026-05-09 07:00:00,42,8.1,0.0,0.7,44.5,0,0
2026-05-09 08:00:00,80,9.9,0.0,1.3,67.1,0,0
2026-05-09 09:00:00,177,10.8,0.0,2.0,72.58333333333333,0,0
2026-05-09 10:00:00,242,11.700000000000001,0.0,2.7,78.06666666666666,0,0
2026-05-09 11:00:00,302,12.600000000000001,0.0,3.4000000000000004,83.55,0,0
2026-05-09 12:00:00,347,13.5,0.0,4.1000000000000005,89.03333333333333,0,0
2026-05-09 13:00:00,339,14.4,0.0,4.800000000000001,94.51666666666667,0,0
2026-05-09 14:00:00,338,15.3,0.0,5.5,100.0,0,0
2026-05-09 15:00:00,339,15.0,0.0,5.266666666666667,98.83333333333333,0,0
2026-05-09 16:00:00,320,14.700000000000001,0.0,5.033333333333333,97.66666666666667,0,0
2026-05-09 17:00:00,316,14.4,0.0,4.8,96.5,0,0
2026-05-09 18:00:00,287,14.1,0.0,4.566666666666666,95.33333333333333,0,0
2026-05-09 19:00:00,233,13.8,0.0,4.333333333333333,94.16666666666667,0,0
2026-05-09 20:00:00,181,13.5,0.0,4.1,93.0,0,0
2026-05-09 21:00:00,142,12.683333333333334,0.0,3.6999999999999997,92.86666666666667,0,0
2026-05-09 22:00:00,131,11.866666666666667,0.0,3.3,92.73333333333333,0,0
2026-05-09 23:00:00,134,11.05,0.0,2.9,92.6,0,0
2026-05-10 00:00:00,106,10.233333333333334,0.0,2.5,92.46666666666667,0,0
2026-05-10 01:00:00,0,9.416666666666668,0.0,2.1,92.33333333333334,0,0
2026-05-10 02:00:00,0,8.6,0.0,1.7,92.2,0,0
2026-05-10 03:00:00,0,8.666666666666666,0.0,1.75,93.3,0,0
2026-05-10 04:00:00,0,8.733333333333333,0.0,1.8,94.4,0,0
2026-05-10 05:00:00,12,8.8,0.0,1.85,95.5,0,0
2026-05-10 06:00:00,14,8.866666666666667,0.0,1.9,96.6,0,0
2026-05-10 07:00:00,31,8.933333333333334,0.0,1.95,97.7,0,0
2026-05-10 08:00:00,48,9.0,0.0,2.0,98.8,0,0
2026-05-10 09:00:00,92,9.516666666666666,0.0,2.1333333333333333,96.4,0,0
2026-05-10 10:00:00,133,10.033333333333333,0.0,2.2666666666666666,94.0,0,0
2026-05-10 11:00:00,193,10.55,0.0,2.4,91.60000000000001,0,0
2026-05-10 12:00:00,239,11.066666666666666,0.0,2.533333333333333,89.2,0,0
2026-05-10 13:00:00,252,11.583333333333332,0.0,2.6666666666666665,86.80000000000001,0,0
2026-05-10 14:00:00,262,12.1,0.0,2.8,84.4,0,0
2026-05-10 15:00:00,263,12.05,0.0,2.783333333333333,80.75,0,0
2026-05-10 16:00:00,262,12.0,0.0,2.7666666666666666,77.10000000000001,0,0
2026-05-10 17:00:00,261,11.95,0.0,2.75,73.45,0,0
2026-05-10 18:00:00,239,11.9,0.0,2.7333333333333334,69.8,0,0
2026-05-10 19:00:00,205,11.850000000000001,0.0,2.716666666666667,66.15,0,0
2026-05-10 20:00:00,173,11.8,0.0,2.7,62.5,0,0
2026-05-10 21:00:00,134,10.833333333333334,0.0,2.5166666666666666,66.4,0,0
2026-05-10 22:00:00,107,9.866666666666667,0.0,2.3333333333333335,70.3,0,0
2026-05-10 23:00:00,75,8.9,0.0,2.1500000000000004,74.2,0,0
2026-05-11 00:00:00,18,7.933333333333334,0.0,1.9666666666666668,78.10000000000001,0,0
2026-05-11 01:00:00,0,6.966666666666667,0.0,1.7833333333333334,82.0,0,0
2026-05-11 02:00:00,0,6.0,0.0,1.6,85.9,0,0
2026-05-11 03:00:00,0,6.25,0.0,1.75,88.25,0,0
2026-05-11 04:00:00,0,6.5,0.0,1.9000000000000001,90.60000000000001,0,0
2026-05-11 05:00:00,22,6.75,0.0,2.05,92.95,0,0
2026-05-11 06:00:00,113,7.0,0.0,2.2,95.3,0,0
2026-05-11 07:00:00,427,7.25,0.0,2.35,97.65,0,0
2026-05-11 08:00:00,513,7.5,0.0,2.5,100.0,0,0
2026-05-11 09:00:00,143,8.25,0.5499999999999999,2.55,100.0,0,0
2026-05-11 10:00:00,61,9.0,1.0999999999999999,2.6,100.0,0,0
2026-05-11 11:00:00,55,9.75,1.6499999999999997,2.65,100.0,0,0
2026-05-11 12:00:00,58,10.5,2.1999999999999997,2.6999999999999997,100.0,0,0
2026-05-11 13:00:00,59,11.25,2.7499999999999996,2.75,100.0,0,0
2026-05-11 14:00:00,84,12.0,3.3,2.8,100.0,0,0
2026-05-11 15:00:00,179,11.65,2.75,2.8,100.0,0,0
2026-05-11 16:00:00,246,11.3,2.2,2.8,100.0,0,0
2026-05-11 17:00:00,229,10.95,1.6500000000000001,2.8,100.0,0,0
2026-05-11 18:00:00,186,10.6,1.1,2.8,100.0,0,0
2026-05-11 19:00:00,134,10.25,0.5500000000000003,2.8,100.0,0,0
2026-05-11 20:00:00,162,9.9,0.0,2.8,100.0,0,0
2026-05-11 21:00:00,158,9.4,0.0,2.8,100.0,0,0
2026-05-11 22:00:00,124,8.9,0.0,2.8,100.0,0,0
2026-05-11 23:00:00,69,8.4,0.0,2.8,100.0,0,0
2026-05-12 00:00:00,24,7.9,0.0,2.8,100.0,0,0
2026-05-12 01:00:00,0,7.4,0.0,2.8,100.0,0,0
2026-05-12 02:00:00,0,6.9,0.0,2.8,100.0,0,0
2026-05-12 03:00:00,0,7.15,0.0,2.7166666666666663,87.88333333333333,0,0
2026-05-12 04:00:00,0,7.4,0.0,2.6333333333333333,75.76666666666667,0,0
2026-05-12 05:00:00,34,7.65,0.0,2.55,63.65,0,0
2026-05-12 06:00:00,134,7.9,0.0,2.4666666666666663,51.53333333333333,0,0
2026-05-12 07:00:00,473,8.15,0.0,2.3833333333333333,39.416666666666664,0,0
2026-05-12 08:00:00,567,8.4,0.0,2.3,27.3,0,0
2026-05-12 09:00:00,237,9.333333333333334,0.0,2.4166666666666665,34.983333333333334,0,0
2026-05-12 10:00:00,156,10.266666666666667,0.0,2.533333333333333,42.66666666666667,0,0
2026-05-12 11:00:00,172,11.2,0.0,2.65,50.35000000000001,0,0
2026-05-12 12:00:00,176,12.133333333333333,0.0,2.7666666666666666,58.033333333333346,0,0
2026-05-12 13:00:00,181,13.066666666666666,0.0,2.8833333333333333,65.71666666666668,0,0
2026-05-12 14:00:00,236,14.0,0.0,3.0,73.4,0,0
2026-05-12 15:00:00,418,13.766666666666667,0.0,3.0,74.7,0,0
2026-05-12 16:00:00,603,13.533333333333333,0.0,3.0,76.0,0,0
2026-05-12 17:00:00,498,13.3,0.0,3.0,77.30000000000001,0,0
2026-05-12 18:00:00,394,13.066666666666666,0.0,3.0,78.60000000000001,0,0
2026-05-12 19:00:00,291,12.833333333333334,0.0,3.0,79.9,0,0
2026-05-12 20:00:00,241,12.6,0.0,3.0,81.2,0,0
2026-05-12 21:00:00,201,11.733333333333333,0.0,2.8833333333333333,72.35000000000001,0,0
2026-05-12 22:00:00,163,10.866666666666667,0.0,2.7666666666666666,63.5,0,0
2026-05-12 23:00:00,103,10.0,0.0,2.65,54.650000000000006,0,0
2026-05-13 00:00:00,35,9.133333333333333,0.0,2.533333333333333,45.800000000000004,0,0
2026-05-13 01:00:00,0,8.266666666666666,0.0,2.4166666666666665,36.95,0,0
2026-05-13 02:00:00,0,7.4,0.0,2.3,28.1,0,0
2026-05-13 03:00:00,0,7.683333333333334,0.0,2.3666666666666667,26.666666666666668,0,0
2026-05-13 04:00:00,0,7.966666666666667,0.0,2.433333333333333,25.233333333333334,0,0
2026-05-13 05:00:00,34,8.25,0.0,2.5,23.8,0,0
2026-05-13 06:00:00,135,8.533333333333333,0.0,2.566666666666667,22.366666666666667,0,0
2026-05-13 07:00:00,474,8.816666666666666,0.0,2.6333333333333333,20.933333333333334,0,0
2026-05-13 08:00:00,592,9.1,0.0,2.7,19.5,0,0
2026-05-13 09:00:00,246,9.85,0.0,2.966666666666667,27.700000000000003,0,0
2026-05-13 10:00:00,167,10.6,0.0,3.2333333333333334,35.900000000000006,0,0
2026-05-13 11:00:00,181,11.35,0.0,3.5,44.1,0,0
2026-05-13 12:00:00,183,12.1,0.0,3.7666666666666666,52.300000000000004,0,0
2026-05-13 13:00:00,185,12.85,0.0,4.033333333333333,60.50000000000001,0,0
2026-05-13 14:00:00,240,13.6,0.0,4.3,68.7,0,0
2026-05-13 15:00:00,414,13.35,0.0,4.166666666666666,65.85000000000001,0,0
2026-05-13 16:00:00,600,13.1,0.0,4.033333333333333,63.0,0,0
2026-05-13 17:00:00,497,12.85,0.0,3.9,60.150000000000006,0,0
2026-05-13 18:00:00,394,12.6,0.0,3.7666666666666666,57.300000000000004,0,0
2026-05-13 19:00:00,294,12.35,0.0,3.6333333333333333,54.45,0,0
2026-05-13 20:00:00,244,12.1,0.0,3.5,51.6,0,0
2026-05-13 21:00:00,198,11.216666666666667,0.0,3.283333333333333,52.96666666666667,0,0
2026-05-13 22:00:00,160,10.333333333333332,0.0,3.066666666666667,54.333333333333336,0,0
2026-05-13 23:00:00,110,9.45,0.0,2.85,55.7,0,0
2026-05-14 00:00:00,47,8.566666666666666,0.0,2.6333333333333333,57.06666666666666,0,1
2026-05-14 01:00:00,0,7.683333333333333,0.0,2.416666666666667,58.43333333333333,0,1
2026-05-14 02:00:00,0,6.8,0.0,2.2,59.8,0,1
