hour,predicted_trips,temp_c,precip_mm,wind_speed_ms,cloud_area_fraction,is_school_holiday,is_national_holiday
2026-08-15 03:00:00,0,16.0,0.0,1.0,80.5,1,0
2026-08-15 04:00:00,0,15.8,0.0,0.9,93.7,1,0
2026-08-15 05:00:00,24,15.8,0.0,0.8,99.5,1,0
2026-08-15 06:00:00,29,16.0,0.0,1.5,99.9,1,0
2026-08-15 07:00:00,48,16.4,0.0,1.6,97.3,1,0
2026-08-15 08:00:00,93,17.9,0.0,1.4,92.4,1,0
2026-08-15 09:00:00,195,18.9,0.0,1.7,92.3,1,0
2026-08-15 10:00:00,274,19.9,0.0,1.2,85.6,1,0
2026-08-15 11:00:00,376,21.0,0.0,1.4,67.0,1,0
2026-08-15 12:00:00,443,21.5,0.0,2.2,85.6,1,0
2026-08-15 13:00:00,444,22.4,0.0,2.2,90.1,1,0
2026-08-15 14:00:00,467,23.1,0.0,2.2,44.5,1,0
2026-08-15 15:00:00,469,24.4,0.0,2.6,23.6,1,0
2026-08-15 16:00:00,470,24.6,0.0,2.6,48.0,1,0
2026-08-15 17:00:00,464,24.7,0.0,2.4,63.7,1,0
2026-08-15 18:00:00,424,23.8,0.0,4.5,82.4,1,0
2026-08-15 19:00:00,351,22.3,0.0,1.2,72.9,1,0
2026-08-15 20:00:00,272,21.3,0.0,1.7,96.8,1,0
2026-08-15 21:00:00,195,20.1,0.0,1.5,86.2,1,0
2026-08-15 22:00:00,177,18.9,0.0,0.8,72.9,1,0
2026-08-15 23:00:00,197,18.6,0.0,2.8,87.4,1,0
2026-08-16 00:00:00,168,18.1,0.0,2.3,87.0,1,0
2026-08-16 01:00:00,0,17.7,0.0,1.6,78.8,1,0
2026-08-16 02:00:00,0,17.1,0.0,2.7,84.9,1,0
2026-08-16 03:00:00,0,16.5,0.0,2.5,65.9,1,0
2026-08-16 04:00:00,0,15.7,0.0,2.2,42.2,1,0
2026-08-16 05:00:00,27,15.2,0.0,2.7,30.5,1,0
2026-08-16 06:00:00,18,14.5,0.0,1.8,22.3,1,0
2026-08-16 07:00:00,37,14.8,0.0,1.2,22.0,1,0
2026-08-16 08:00:00,57,16.3,0.0,1.1,28.3,1,0
2026-08-16 09:00:00,130,17.6,0.0,1.5,22.9,1,0
2026-08-16 10:00:00,194,18.4,0.0,1.7,13.7,1,0
2026-08-16 11:00:00,284,19.4,0.0,1.7,4.8,1,0
2026-08-16 12:00:00,332,19.8,0.0,1.1,16.7,1,0
2026-08-16 13:00:00,351,20.2,0.0,1.5,49.3,1,0
2026-08-16 14:00:00,359,20.6,0.0,1.7,65.9,1,0
2026-08-16 15:00:00,399,21.3,0.0,2.6,62.1,1,0
2026-08-16 16:00:00,408,21.8,0.0,2.6,66.4,1,0
2026-08-16 17:00:00,404,22.0,0.0,2.6,63.8,1,0
2026-08-16 18:00:00,375,21.8,0.0,3.4,45.1,1,0
2026-08-16 19:00:00,295,21.1,0.0,3.4,42.6,1,0
2026-08-16 20:00:00,249,20.1,0.0,2.8,43.5,1,0
2026-08-16 21:00:00,193,18.9,0.0,2.4,54.7,1,0
2026-08-16 22:00:00,150,17.9,0.0,2.2,71.9,1,0
2026-08-16 23:00:00,127,17.3,0.0,2.0,56.3,1,0
2026-08-17 00:00:00,66,16.5,0.0,3.1,46.8,1,0
2026-08-17 01:00:00,0,15.6,0.0,4.2,60.5,1,0
2026-08-17 02:00:00,0,15.0,0.0,5.3,65.1,1,0
2026-08-17 03:00:00,0,14.6,0.0,5.5,75.5,1,0
2026-08-17 04:00:00,0,14.2,0.0,4.8,91.4,1,0
2026-08-17 05:00:00,32,13.9,0.0,4.3,97.3,1,0
2026-08-17 06:00:00,142,13.5,0.0,3.3,98.5,1,0
2026-08-17 07:00:00,509,13.5,0.0,2.5,96.8,1,0
2026-08-17 08:00:00,685,13.6,0.0,2.7,93.0,1,0
2026-08-17 09:00:00,280,14.566666666666666,0.0,2.6333333333333333,85.56666666666666,1,0
2026-08-17 10:00:00,208,15.533333333333333,0.0,2.566666666666667,78.13333333333333,1,0
2026-08-17 11:00:00,230,16.5,0.0,2.5,70.7,1,0
2026-08-17 12:00:00,240,17.466666666666665,0.0,2.433333333333333,63.266666666666666,1,0
2026-08-17 13:00:00,272,18.433333333333334,0.0,2.3666666666666667,55.83333333333333,1,0
2026-08-17 14:00:00,339,19.4,0.0,2.3,48.4,1,0
2026-08-17 15:00:00,594,19.133333333333333,0.0,2.2166666666666663,45.666666666666664,1,0
2026-08-17 16:00:00,775,18.866666666666667,0.0,2.1333333333333333,42.93333333333333,1,0
2026-08-17 17:00:00,612,18.599999999999998,0.0,2.05,40.2,1,0
2026-08-17 18:00:00,492,18.333333333333332,0.0,1.9666666666666666,37.46666666666667,1,0
2026-08-17 19:00:00,379,18.066666666666666,0.0,1.8833333333333333,34.733333333333334,1,0
2026-08-17 20:00:00,323,17.8,0.0,1.8,32.0,1,0
2026-08-17 21:00:00,253,16.866666666666667,0.0,2.05,30.116666666666667,1,0
2026-08-17 22:00:00,187,15.933333333333334,0.0,2.3,28.233333333333334,1,0
2026-08-17 23:00:00,129,15.0,0.0,2.55,26.35,1,0
2026-08-18 00:00:00,49,14.066666666666666,0.0,2.8,24.466666666666665,0,0
2026-08-18 01:00:00,0,13.133333333333333,0.0,3.05,22.583333333333332,0,0
2026-08-18 02:00:00,0,12.2,0.0,3.3,20.7,0,0
2026-08-18 03:00:00,0,12.233333333333333,0.0,3.0999999999999996,20.5,0,0
2026-08-18 04:00:00,0,12.266666666666666,0.0,2.9,20.3,0,0
2026-08-18 05:00:00,43,12.3,0.0,2.7,20.1,0,0
2026-08-18 06:00:00,174,12.333333333333334,0.0,2.5,19.9,0,0
2026-08-18 07:00:00,584,12.366666666666667,0.0,2.3,19.7,0,0
2026-08-18 08:00:00,782,12.4,0.0,2.1,19.5,0,0
2026-08-18 09:00:00,303,13.4,0.0,2.066666666666667,26.666666666666668,0,0
2026-08-18 10:00:00,213,14.4,0.0,2.033333333333333,33.833333333333336,0,0
2026-08-18 11:00:00,224,15.399999999999999,0.0,2.0,41.0,0,0
2026-08-18 12:00:00,240,16.4,0.0,1.9666666666666666,48.16666666666667,0,0
2026-08-18 13:00:00,251,17.4,0.0,1.9333333333333333,55.333333333333336,0,0
2026-08-18 14:00:00,335,18.4,0.0,1.9,62.5,0,0
2026-08-18 15:00:00,537,18.133333333333333,0.0,1.95,62.766666666666666,0,0
2026-08-18 16:00:00,752,17.866666666666667,0.0,2.0,63.03333333333333,0,0
2026-08-18 17:00:00,596,17.599999999999998,0.0,2.05,63.3,0,0
2026-08-18 18:00:00,476,17.333333333333332,0.0,2.1,63.56666666666666,0,0
2026-08-18 19:00:00,364,17.066666666666666,0.0,2.1500000000000004,63.83333333333333,0,0
2026-08-18 20:00:00,308,16.8,0.0,2.2,64.1,0,0
2026-08-18 21:00:00,261,16.0,0.0,2.066666666666667,64.1,0,0
2026-08-18 22:00:00,202,15.200000000000001,0.0,1.9333333333333333,64.1,0,0
2026-08-18 23:00:00,141,14.4,0.0,1.8,64.1,0,0
2026-08-19 00:00:00,55,13.6,0.0,1.6666666666666665,64.1,0,0
2026-08-19 01:00:00,0,12.8,0.0,1.5333333333333332,64.1,0,0
2026-08-19 02:00:00,0,12.0,0.0,1.4,64.1,0,0
2026-08-19 03:00:00,0,12.183333333333334,0.0,1.4833333333333332,70.08333333333333,0,0
2026-08-19 04:00:00,0,12.366666666666667,0.0,1.5666666666666667,76.06666666666666,0,0
2026-08-19 05:00:00,43,12.55,0.0,1.65,82.05,0,0
2026-08-19 06:00:00,170,12.733333333333333,0.0,1.7333333333333332,88.03333333333333,0,0
2026-08-19 07:00:00,559,12.916666666666666,0.0,1.8166666666666664,94.01666666666667,0,0
2026-08-19 08:00:00,757,13.1,0.0,1.9,100.0,0,0
2026-08-19 09:00:00,297,13.95,0.0,1.9,97.78333333333333,0,0
2026-08-19 10:00:00,208,14.799999999999999,0.0,1.9,95.56666666666666,0,0
2026-08-19 11:00:00,214,15.649999999999999,0.0,1.9,93.35,0,0
2026-08-19 12:00:00,235,16.5,0.0,1.9,91.13333333333334,0,0
2026-08-19 13:00:00,250,17.35,0.0,1.9,88.91666666666667,0,0
2026-08-19 14:00:00,322,18.2,0.0,1.9,86.7,0,0
2026-08-19 15:00:00,527,17.95,0.0,1.8333333333333333,86.96666666666667,0,0
2026-08-19 16:00:00,737,17.7,0.0,1.7666666666666666,87.23333333333333,0,0
2026-08-19 17:00:00,583,17.45,0.0,1.7,87.5,0,0
2026-08-19 18:00:00,466,17.2,0.0,1.6333333333333333,87.76666666666667,0,0
2026-08-19 19:00:00,352,16.95,0.0,1.5666666666666667,88.03333333333333,0,0
2026-08-19 20:00:00,298,16.7,0.0,1.5,88.3,0,0
2026-08-19 21:00:00,252,15.899999999999999,0.0,1.45,82.3,0,0
2026-08-19 22:00:00,202,15.1,0.0,1.4,76.3,0,0
2026-08-19 23:00:00,151,14.3,0.0,1.35,70.3,0,0
2026-08-20 00:00:00,67,13.5,0.0,1.3,64.3,0,0
2026-08-20 01:00:00,0,12.7,0.0,1.25,58.3,0,0
2026-08-20 02:00:00,0,11.9,0.0,1.2,52.3,0,0
2026-08-20 03:00:00,0,12.133333333333333,0.0,1.25,54.983333333333334,0,0
2026-08-20 04:00:00,0,12.366666666666667,0.0,1.3,57.666666666666664,0,0
2026-08-20 05:00:00,42,12.6,0.0,1.35,60.35,0,0
2026-08-20 06:00:00,168,12.833333333333334,0.0,1.4,63.03333333333333,0,0
2026-08-20 07:00:00,576,13.066666666666666,0.0,1.45,65.71666666666667,0,0
2026-08-20 08:00:00,773,13.3,0.0,1.5,68.4,0,0
2026-08-20 09:00:00,233,14.166666666666668,0.5166666666666667,1.5833333333333333,70.41666666666667,0,0
2026-08-20 10:00:00,144,15.033333333333333,1.0333333333333334,1.6666666666666667,72.43333333333334,0,0
2026-08-20 11:00:00,154,15.9,1.55,1.75,74.45,0,0
2026-08-20 12:00:00,151,16.766666666666666,2.066666666666667,1.8333333333333333,76.46666666666667,0,0
2026-08-20 13:00:00,169,17.633333333333333,2.5833333333333335,1.9166666666666665,78.48333333333333,0,0
2026-08-20 14:00:00,246,18.5,3.1,2.0,80.5,0,0
2026-08-20 15:00:00,345,18.166666666666668,2.5833333333333335,1.9333333333333333,75.68333333333334,0,0
2026-08-20 16:00:00,419,17.833333333333332,2.0666666666666664,1.8666666666666667,70.86666666666667,0,0
2026-08-20 17:00:00,414,17.5,1.55,1.8,66.05,0,0
2026-08-20 18:00:00,341,17.166666666666668,1.0333333333333332,1.7333333333333334,61.233333333333334,0,0
2026-08-20 19:00:00,274,16.833333333333332,0.5166666666666666,1.6666666666666667,56.41666666666667,0,0
2026-08-20 20:00:00,290,16.5,0.0,1.6,51.6,0,0
2026-08-20 21:00:00,258,15.7,0.0,1.55,52.56666666666667,0,0
2026-08-20 22:00:00,208,14.9,0.0,1.5,53.53333333333333,0,0
2026-08-20 23:00:00,154,14.1,0.0,1.4500000000000002,54.5,0,0
2026-08-21 00:00:00,78,13.299999999999999,0.0,1.4000000000000001,55.46666666666667,0,0
2026-08-21 01:00:00,0,12.5,0.0,1.35,56.43333333333333,0,0
2026-08-21 02:00:00,0,11.7,0.0,1.3,57.4,0,0
2026-08-21 03:00:00,0,11.966666666666667,0.0,1.4,60.599999999999994,0,0
2026-08-21 04:00:00,0,12.233333333333333,0.0,1.5,63.8,0,0
2026-08-21 05:00:00,35,12.5,0.0,1.6,67.0,0,0
2026-08-21 06:00:00,144,12.766666666666667,0.0,1.7,70.19999999999999,0,0
2026-08-21 07:00:00,503,13.033333333333333,0.0,1.7999999999999998,73.39999999999999,0,0
2026-08-21 08:00:00,687,13.3,0.0,1.9,76.6,0,0
2026-08-21 09:00:00,257,14.200000000000001,0.35000000000000003,1.8666666666666667,78.28333333333333,0,0
2026-08-21 10:00:00,152,15.1,0.7000000000000001,1.8333333333333333,79.96666666666667,0,0
2026-08-21 11:00:00,162,16.0,1.05,1.7999999999999998,81.65,0,0
2026-08-21 12:00:00,165,16.9,1.4000000000000001,1.7666666666666666,83.33333333333333,0,0
