hour,predicted_trips,temp_c,precip_mm,wind_speed_ms,cloud_area_fraction,is_school_holiday,is_national_holiday
2026-06-15 06:00:00,131,11.5,0.0,5.7,52.7,0,0
2026-06-15 07:00:00,481,11.8,0.0,5.2,48.2,0,0
2026-06-15 08:00:00,637,12.9,0.0,5.2,34.9,0,0
2026-06-15 09:00:00,253,14.2,0.0,4.7,50.8,0,0
2026-06-15 10:00:00,179,15.3,0.0,4.2,87.0,0,0
2026-06-15 11:00:00,188,16.3,0.0,3.7,91.5,0,0
2026-06-15 12:00:00,203,17.5,0.0,3.5,82.8,0,0
2026-06-15 13:00:00,227,18.4,0.0,3.0,76.7,0,0
2026-06-15 14:00:00,285,19.0,0.0,2.4,82.5,0,0
2026-06-15 15:00:00,516,19.4,0.0,2.2,86.6,0,0
2026-06-15 16:00:00,675,19.8,0.0,2.3,78.3,0,0
2026-06-15 17:00:00,579,19.9,0.0,2.3,59.7,0,0
2026-06-15 18:00:00,456,20.0,0.0,2.5,35.3,0,0
2026-06-15 19:00:00,353,19.8,0.0,2.2,23.0,0,0
2026-06-15 20:00:00,308,19.2,0.0,2.0,15.4,0,0
2026-06-15 21:00:00,262,18.3,0.0,2.2,11.5,0,0
2026-06-15 22:00:00,190,16.8,0.0,1.9,6.2,0,0
2026-06-15 23:00:00,140,15.1,0.0,2.3,8.8,0,0
2026-06-16 00:00:00,52,14.2,0.0,3.1,17.0,0,0
2026-06-16 01:00:00,0,13.7,0.0,3.4,48.9,0,0
2026-06-16 02:00:00,0,13.4,0.0,3.6,53.4,0,0
2026-06-16 03:00:00,0,13.2,0.0,3.7,29.3,0,0
2026-06-16 04:00:00,0,12.6,0.0,4.2,56.0,0,0
2026-06-16 05:00:00,34,12.1,0.0,4.8,58.2,0,0
2026-06-16 06:00:00,149,12.4,0.0,4.6,73.5,0,0
2026-06-16 07:00:00,499,13.0,0.0,4.4,95.0,0,0
2026-06-16 08:00:00,658,14.1,0.0,2.4,99.0,0,0
2026-06-16 09:00:00,273,15.7,0.0,1.9,94.3,0,0
2026-06-16 10:00:00,207,16.8,0.0,1.6,60.7,0,0
2026-06-16 11:00:00,218,17.9,0.0,0.9,14.3,0,0
2026-06-16 12:00:00,228,19.6,0.0,2.9,17.1,0,0
2026-06-16 13:00:00,244,20.1,0.0,3.0,56.8,0,0
2026-06-16 14:00:00,305,20.5,0.0,2.4,79.1,0,0
2026-06-16 15:00:00,526,21.2,0.0,1.5,61.5,0,0
2026-06-16 16:00:00,711,21.6,0.0,0.8,41.2,0,0
2026-06-16 17:00:00,616,21.7,0.0,1.0,30.5,0,0
2026-06-16 18:00:00,485,21.8,0.0,1.1,11.7,0,0
2026-06-16 19:00:00,382,21.7,0.0,1.7,7.2,0,0
2026-06-16 20:00:00,324,20.7,0.0,1.9,4.5,0,0
2026-06-16 21:00:00,291,19.9,0.0,2.1,6.0,0,0
2026-06-16 22:00:00,242,18.8,0.0,2.3,4.4,0,0
2026-06-16 23:00:00,185,17.1,0.0,1.3,4.6,0,0
2026-06-17 00:00:00,67,15.6,0.0,1.2,2.5,0,0
2026-06-17 01:00:00,0,14.6,0.0,1.8,3.0,0,0
2026-06-17 02:00:00,0,13.8,0.0,1.4,5.3,0,0
2026-06-17 03:00:00,0,13.4,0.0,1.3,5.4,0,0
2026-06-17 04:00:00,0,12.6,0.0,1.8,2.4,0,0
2026-06-17 05:00:00,35,12.2,0.0,2.3,4.2,0,0
2026-06-17 06:00:00,157,13.4,0.0,2.7,11.4,0,0
2026-06-17 07:00:00,526,14.4,0.0,2.2,21.0,0,0
2026-06-17 08:00:00,708,15.7,0.0,2.2,17.3,0,0
2026-06-17 09:00:00,290,16.8,0.0,1.9,6.6,0,0
2026-06-17 10:00:00,224,18.3,0.0,1.1,56.9,0,0
2026-06-17 11:00:00,234,19.6,0.0,2.3,58.5,0,0
2026-06-17 12:00:00,217,21.4,0.0,2.4,97.5,0,0
2026-06-17 13:00:00,237,22.2,0.0,3.3,99.7,0,0
2026-06-17 14:00:00,320,22.5,0.0,4.8,89.4,0,0
2026-06-17 15:00:00,547,21.4,0.0,4.583333333333333,84.4,0,0
2026-06-17 16:00:00,690,20.3,0.0,4.366666666666666,79.4,0,0
