hour,predicted_trips,temp_c,precip_mm,wind_speed_ms,cloud_area_fraction,is_school_holiday,is_national_holiday
2026-07-20 05:00:00,13,9.0,0.0,2.2,7.8,1,0
2026-07-20 06:00:00,82,9.9,0.0,1.9,15.0,1,0
2026-07-20 07:00:00,268,12.3,0.0,1.5,8.2,1,0
2026-07-20 08:00:00,336,14.8,0.0,1.3,1.1,1,0
2026-07-20 09:00:00,212,17.3,0.0,1.4,0.0,1,0
2026-07-20 10:00:00,201,19.3,0.0,2.5,0.0,1,0
2026-07-20 11:00:00,239,21.2,0.0,2.7,0.1,1,0
2026-07-20 12:00:00,250,22.5,0.0,2.9,1.9,1,0
2026-07-20 13:00:00,272,23.7,0.0,2.7,2.6,1,0
2026-07-20 14:00:00,312,24.3,0.0,2.6,6.1,1,0
2026-07-20 15:00:00,447,24.6,0.0,2.7,5.6,1,0
2026-07-20 16:00:00,501,24.7,0.0,2.5,4.8,1,0
2026-07-20 17:00:00,451,24.9,0.0,2.2,3.1,1,0
2026-07-20 18:00:00,384,24.8,0.0,1.9,1.0,1,0
2026-07-20 19:00:00,328,24.3,0.0,1.9,0.5,1,0
2026-07-20 20:00:00,277,23.5,0.0,1.9,0.9,1,0
2026-07-20 21:00:00,222,22.1,0.0,1.7,2.7,1,0
2026-07-20 22:00:00,165,19.6,0.0,1.4,4.9,1,0
2026-07-20 23:00:00,110,17.6,0.0,1.9,5.9,1,0
2026-07-21 00:00:00,59,16.4,0.0,1.4,6.6,1,0
2026-07-21 01:00:00,0,15.7,0.0,1.5,14.8,1,0
2026-07-21 02:00:00,0,15.2,0.0,1.6,23.7,1,0
2026-07-21 03:00:00,0,14.7,0.0,1.7,21.9,1,0
2026-07-21 04:00:00,0,14.2,0.0,1.4,30.0,1,0
2026-07-21 05:00:00,17,14.0,0.0,0.9,66.0,1,0
2026-07-21 06:00:00,81,14.1,0.0,0.8,52.5,1,0
2026-07-21 07:00:00,253,15.5,0.0,1.5,1.0,1,0
2026-07-21 08:00:00,339,17.7,0.0,1.1,3.0,1,0
2026-07-21 09:00:00,224,20.0,0.0,1.5,3.1,1,0
2026-07-21 10:00:00,213,21.5,0.0,2.3,29.3,1,0
2026-07-21 11:00:00,254,23.0,0.0,2.6,54.3,1,0
2026-07-21 12:00:00,262,24.3,0.0,3.0,45.3,1,0
2026-07-21 13:00:00,279,25.1,0.0,4.3,90.0,1,0
2026-07-21 14:00:00,316,25.7,0.0,4.9,99.9,1,0
2026-07-21 15:00:00,435,25.9,0.0,5.7,98.4,1,0
2026-07-21 16:00:00,480,25.6,0.0,6.0,99.8,1,0
2026-07-21 17:00:00,432,25.4,0.0,5.6,99.6,1,0
2026-07-21 18:00:00,336,24.6,0.0,5.1,98.8,1,0
2026-07-21 19:00:00,260,23.6,0.0,4.7,99.5,1,0
2026-07-21 20:00:00,220,22.3,0.0,4.7,92.0,1,0
2026-07-21 21:00:00,217,20.8,0.0,4.1,62.4,1,0
2026-07-21 22:00:00,182,19.3,0.0,2.5,31.4,1,0
2026-07-21 23:00:00,130,18.1,0.0,1.6,30.3,1,0
2026-07-22 00:00:00,67,17.0,0.0,0.8,13.1,1,0
2026-07-22 01:00:00,0,16.7,0.0,7.4,28.0,1,0
2026-07-22 02:00:00,0,16.4,0.0,7.0,56.8,1,0
2026-07-22 03:00:00,0,16.0,0.0,4.4,77.2,1,0
2026-07-22 04:00:00,0,15.5,0.0,3.9,85.9,1,0
2026-07-22 05:00:00,20,15.0,0.0,4.1,69.9,1,0
2026-07-22 06:00:00,83,14.6,0.0,4.0,40.4,1,0
2026-07-22 07:00:00,256,15.3,0.0,4.0,53.0,1,0
2026-07-22 08:00:00,342,16.9,0.0,4.1,67.3,1,0
2026-07-22 09:00:00,236,18.7,0.0,3.7,30.6,1,0
2026-07-22 10:00:00,224,20.4,0.0,4.2,32.7,1,0
2026-07-22 11:00:00,258,21.6,0.0,4.3,57.8,1,0
2026-07-22 12:00:00,262,22.3,0.0,4.0,71.3,1,0
2026-07-22 13:00:00,282,22.8,0.0,3.6,58.7,1,0
2026-07-22 14:00:00,321,23.0,0.0,4.5,31.8,1,0
2026-07-22 15:00:00,450,22.233333333333334,0.0,4.466666666666667,26.95,1,0
2026-07-22 16:00:00,491,21.466666666666665,0.0,4.433333333333334,22.1,1,0
2026-07-22 17:00:00,448,20.7,0.0,4.4,17.25,1,0
2026-07-22 18:00:00,373,19.933333333333334,0.0,4.366666666666666,12.399999999999999,1,0
2026-07-22 19:00:00,317,19.166666666666664,0.0,4.333333333333333,7.549999999999997,1,0
2026-07-22 20:00:00,265,18.4,0.0,4.3,2.7,1,0
2026-07-22 21:00:00,211,17.48333333333333,0.0,4.2,2.7666666666666666,1,0
2026-07-22 22:00:00,173,16.566666666666666,0.0,4.1,2.8333333333333335,1,0
2026-07-22 23:00:00,136,15.649999999999999,0.0,4.0,2.9000000000000004,1,0
2026-07-23 00:00:00,74,14.733333333333333,0.0,3.9,2.966666666666667,1,0
2026-07-23 01:00:00,0,13.816666666666666,0.0,3.8000000000000003,3.033333333333333,1,0
2026-07-23 02:00:00,0,12.9,0.0,3.7,3.1,1,0
2026-07-23 03:00:00,0,13.183333333333334,0.0,3.6,3.5,1,0
