hour,predicted_trips,temp_c,precip_mm,wind_speed_ms,cloud_area_fraction,is_school_holiday,is_national_holiday
2026-04-26 04:00:00,0,1.5,0.0,4.7,0.0,0,0
2026-04-26 05:00:00,11,1.4,0.0,4.7,0.0,0,0
2026-04-26 06:00:00,10,1.3,0.0,4.6,0.0,0,0
2026-04-26 07:00:00,26,2.1,0.0,4.1,0.0,0,0
2026-04-26 08:00:00,38,3.8,0.0,4.1,0.6,0,0
2026-04-26 09:00:00,75,5.2,0.0,4.0,3.3,0,0
2026-04-26 10:00:00,115,6.5,0.0,3.1,6.5,0,0
2026-04-26 11:00:00,176,7.6,0.0,2.8,3.5,0,0
2026-04-26 12:00:00,209,9.0,0.0,2.4,0.5,0,0
2026-04-26 13:00:00,219,10.0,0.0,2.1,7.2,0,0
2026-04-26 14:00:00,241,10.7,0.0,2.1,12.3,0,0
2026-04-26 15:00:00,245,11.1,0.0,2.5,20.4,0,0
2026-04-26 16:00:00,232,11.1,0.0,1.9,54.8,0,0
2026-04-26 17:00:00,217,11.0,0.0,1.2,81.2,0,0
2026-04-26 18:00:00,200,10.7,0.0,2.1,84.4,0,0
2026-04-26 19:00:00,163,9.7,0.0,2.2,82.4,0,0
2026-04-26 20:00:00,133,9.0,0.0,2.0,74.5,0,0
2026-04-26 21:00:00,105,7.8,0.0,2.8,47.0,0,0
2026-04-26 22:00:00,74,6.4,0.0,3.7,30.8,0,0
2026-04-26 23:00:00,46,5.3,0.0,4.2,32.7,0,0
2026-04-27 00:00:00,16,4.7,0.0,3.8,30.5,0,0
2026-04-27 01:00:00,0,3.8,0.0,3.1,24.6,0,0
2026-04-27 02:00:00,0,3.1,0.0,2.9,69.1,0,0
2026-04-27 03:00:00,0,2.5,0.0,2.5,90.6,0,0
2026-04-27 04:00:00,0,2.0,0.0,2.1,91.6,0,0
2026-04-27 05:00:00,18,1.6,0.0,2.1,76.7,0,0
2026-04-27 06:00:00,98,1.4,0.0,1.8,94.5,0,0
2026-04-27 07:00:00,376,2.6,0.0,1.5,97.7,0,0
2026-04-27 08:00:00,454,4.1,0.0,1.9,98.1,0,0
2026-04-27 09:00:00,183,5.2,0.0,2.0,95.6,0,0
2026-04-27 10:00:00,120,6.5,0.0,1.9,94.8,0,0
2026-04-27 11:00:00,124,7.7,0.0,1.4,96.1,0,0
2026-04-27 12:00:00,124,8.6,0.0,2.6,98.8,0,0
2026-04-27 13:00:00,135,9.2,0.0,2.5,97.2,0,0
2026-04-27 14:00:00,181,10.0,0.0,2.8,90.4,0,0
2026-04-27 15:00:00,343,10.5,0.0,2.8,91.9,0,0
2026-04-27 16:00:00,531,11.0,0.0,2.6,98.9,0,0
2026-04-27 17:00:00,438,11.3,0.0,2.4,91.8,0,0
2026-04-27 18:00:00,364,11.2,0.0,2.1,61.2,0,0
2026-04-27 19:00:00,263,10.9,0.0,1.9,28.3,0,0
2026-04-27 20:00:00,207,10.3,0.0,2.3,22.9,0,0
2026-04-27 21:00:00,155,8.7,0.0,2.0,2.3,0,0
2026-04-27 22:00:00,110,7.2,0.0,1.6,23.8,0,0
2026-04-27 23:00:00,64,6.5,0.0,1.4,32.6,0,0
2026-04-28 00:00:00,24,5.9,0.0,1.0,6.4,0,0
2026-04-28 01:00:00,0,5.6,0.0,1.5,53.2,0,0
2026-04-28 02:00:00,0,5.2,0.0,2.2,96.4,0,0
2026-04-28 03:00:00,0,4.8,0.0,2.2,97.9,0,0
2026-04-28 04:00:00,0,4.6,0.0,1.6,99.9,0,0
2026-04-28 05:00:00,22,4.2,0.0,1.5,100.0,0,0
2026-04-28 06:00:00,113,4.0,0.0,1.5,100.0,0,0
2026-04-28 07:00:00,433,4.8,0.0,1.8,100.0,0,0
2026-04-28 08:00:00,531,6.3,0.0,1.7,99.1,0,0
2026-04-28 09:00:00,209,7.433333333333334,0.0,1.7166666666666666,95.14999999999999,0,0
2026-04-28 10:00:00,137,8.566666666666666,0.0,1.7333333333333334,91.2,0,0
2026-04-28 11:00:00,148,9.7,0.0,1.75,87.25,0,0
2026-04-28 12:00:00,157,10.833333333333332,0.0,1.7666666666666666,83.3,0,0
2026-04-28 13:00:00,165,11.966666666666665,0.0,1.7833333333333334,79.35,0,0
2026-04-28 14:00:00,210,13.1,0.0,1.8,75.4,0,0
2026-04-28 15:00:00,385,13.133333333333333,0.0,1.7,69.86666666666667,0,0
2026-04-28 16:00:00,568,13.166666666666666,0.0,1.6,64.33333333333334,0,0
2026-04-28 17:00:00,474,13.2,0.0,1.5,58.800000000000004,0,0
2026-04-28 18:00:00,387,13.233333333333334,0.0,1.4,53.266666666666666,0,0
